Tag URL,line1,line2
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ye āb-dīda Thahar jaa.e jhiil kī sūrat,ki ek chāñd kā TukḌā nahānā chāhtā hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ye aab-dida Thahar jae jhil ki surat,ki ek chand ka TukDa nahana chahta hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tūfān-e-jahl ne mirā jauhar miTā diyā,maiñ ik kitāb ḳhuub huuñ par āb-dīda huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tufan-e-jahl ne mera jauhar miTa diya,main ek kitab KHub hun par aab-dida hun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ham ishq tere haath se kyā kyā na dekhīñ hālateñ,dekh āb-dīda ḳhuuñ na ho ḳhūn-e-jigar paanī na kar
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,hum ishq tere hath se kya kya na dekhin haalaten,dekh aab-dida KHun na ho KHun-e-jigar pani na kar
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kaun uTh gayā hai paas se mere jo 'mus.hafī',rotā huuñ zaar zaar paḌā āb-dīda huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kaun uTh gaya hai pas se mere jo 'mushafi',rota hun zar zar paDa aab-dida hun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,sailāb-e-chashm-e-tar se zamāna ḳharāb hai,shikve kahāñ kahāñ haiñ mire āb-dīda ke
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,sailab-e-chashm-e-tar se zamana KHarab hai,shikwe kahan kahan hain mere aab-dida ke
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ronā hai agar yahī to 'qā.em',ik ḳhalq ko ham Dubā rahe haiñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,rona hai agar yahi to 'qaem',ek KHalq ko hum Duba rahe hain
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ai sakinān-e-charḳh-e-muallā bacho bacho,tūfāñ huā buland mire āb-dīda kā
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ai sakinan-e-charKH-e-mualla bacho bacho,tufan hua buland mere aab-dida ka
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,rone talak to kis ko hai fursat yahāñ sahāb,tūfāñ huā bhī jo Tuk ik āb-dīda huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,rone talak to kis ko hai fursat yahan sahab,tufan hua bhi jo Tuk ek aab-dida hun
https://www.rekhta.org/tags/aabla-shayari/couplets,aaj ik aur baras biit gayā us ke baġhair,jis ke hote hue hote the zamāne mere
